Identifier, Description, Identifier from Copilot, Title from Copilot
ISM-1997,The board of directors or executive committee defines clear roles and responsibilities for cyber security both within the board of directors or executive committee and broadly within their organisation.,ISM-1997,Board defines cyber security roles & responsibilities
ISM-1998,The board of directors or executive committee ensures that cyber security is integrated throughout all business functions within their organisation.,ISM-1998,Board integrates cyber security throughout business functions
ISM-1999,The board of directors or executive committee ensures the cyber security strategy for their organisation is aligned with the overarching strategic direction and business strategy for their organisation.,ISM-1999,Cyber strategy aligned with business strategy
ISM-2000,"The board of directors or executive committee seeks regular briefings or reporting on the cyber security posture of their organisation, as well as the threat environment in which they operate, from internal and external subject matter experts.",ISM-2000,Board seeks regular cyber posture briefings
ISM-2001,"The board of directors or executive committee champions a positive cyber security culture within their organisation, including through leading by example.",ISM-2001,Board champions positive cyber security culture
ISM-2002,The board of directors or executive committee maintains a sufficient level of cyber security literacy to fulfil both their fiduciary duties and any legislative or regulatory obligations.,ISM-2002,Board maintains cyber security literacy
ISM-2003,"The board of directors or executive committee maintains awareness of key cyber security recruitment activities, retention rates for cyber security personnel, and cyber security skills and experience gaps within their organisation.",ISM-2003,Board monitors cyber recruitment and skills gaps
ISM-2004,The board of directors or executive committee supports the development of cyber security skills and experience for all personnel via internal and external cyber security awareness raising and training opportunities.,ISM-2004,Board supports cyber security training for personnel
ISM-2005,"The board of directors or executive committee understands the business criticality of their organisation’s systems, including at least a basic understanding of what exists, their value, where they reside, who has access, who might seek access, how they are protected, and how that protection is verified.",ISM-2005,Board understands business-critical systems
ISM-2006,"The board of directors or executive committee plans for major cyber security incidents, including by participating in exercises, and understand their duties in relation to such cyber security incidents.",ISM-2006,Board plans for major cyber incidents
ISM-0714,A CISO is appointed to provide cyber security leadership and guidance for their organisation (covering information technology and operational technology).,ISM-0714,CISO appointed for cyber leadership
ISM-1478,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation.",ISM-1478,CISO oversees cyber program and compliance
ISM-1617,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.,ISM-1617,CISO regularly updates cyber program
ISM-1966,"The CISO develops, implements, maintains and verifies on a regular basis a register of systems used by their organisation.",ISM-1966,CISO maintains register of systems
ISM-0724,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.,ISM-0724,CISO implements cyber KPIs and metrics
ISM-0725,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.",ISM-0725,CISO runs cyber steering committee
ISM-0726,The CISO coordinates security risk management activities between cyber security and business teams.,ISM-0726,CISO coordinates security risk management
ISM-0718,The CISO regularly reports directly to their organisation’s board of directors or executive committee on cyber security matters.,ISM-0718,CISO reports to board on cyber matters
ISM-1918,"The CISO regularly reports directly to their organisation’s audit, risk and compliance committee (or equivalent) on cyber security matters.",ISM-1918,CISO reports to audit/risk/compliance committee
ISM-0733,The CISO is fully aware of all cyber security incidents within their organisation.,ISM-0733,CISO aware of all cyber incidents
ISM-1618,The CISO oversees their organisation’s response to cyber security incidents.,ISM-1618,CISO oversees incident response
ISM-0734,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.",ISM-0734,CISO contributes to business continuity planning
ISM-0720,"The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation.",ISM-0720,CISO oversees cyber communications strategy
ISM-0731,The CISO oversees cyber supply chain risk management activities for their organisation.,ISM-0731,CISO manages cyber supply chain risk
ISM-0732,The CISO receives and manages a dedicated cyber security budget for their organisation.,ISM-0732,CISO manages dedicated cyber budget
ISM-0717,The CISO oversees the management of cyber security personnel within their organisation.,ISM-0717,CISO manages cyber personnel
ISM-2020,"The CISO ensures sufficient cyber security personnel, with the right skills and experience, are acquired to support cyber security activities within their organisation.",ISM-2020,CISO ensures sufficient cyber staffing
ISM-0735,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program.",ISM-0735,CISO oversees cyber awareness training program
ISM-1071,Each system has a designated system owner.,ISM-1071,Each system has an owner
ISM-1525,System owners register each system with its authorising officer.,ISM-1525,System owners register systems with approver
ISM-1633,"System owners, in consultation with each system’s authorising officer, determine the system boundary, business criticality and security objectives for each system based on an assessment of the impact if it were to be compromised.",ISM-1633,System owners define boundary & criticality
ISM-1203,"System owners, in consultation with each system’s authorising officer, conduct a threat and risk assessment for each system.",ISM-1203,System owners conduct system threat & risk assessment
ISM-1634,"System owners, in consultation with each system’s authorising officer, select controls for each system and tailor them to achieve desired security objectives.",ISM-1634,System owners select and tailor controls
ISM-0009,"System owners, in consultation with each system’s authorising officer, identify any supplementary controls required based upon the unique nature of each system, its operating environment and the organisation’s risk tolerances.",ISM-0009,System owners identify supplementary controls
ISM-1635,System owners implement controls for each system and its operating environment.,ISM-1635,System owners implement system controls
ISM-1636,"System owners, in consultation with each system’s authorising officer, ensure controls for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system and its operating environment undergo a security assessment by their organisation’s own assessors or Infosec Registered Assessor Program (IRAP) assessors to determine if they have been implemented correctly and are operating as intended.",ISM-1636,Systems undergo security assessment by IRAP/org assessors
ISM-1967,"System owners, in consultation with each system’s authorising officer, ensure controls for each TOP SECRET system and its operating environment, including each sensitive compartmented information system and its operating environment, undergo a security assessment by ASD assessors (or their delegates) to determine if they have been implemented correctly and are operating as intended.",ISM-1967,TOP SECRET systems assessed by ASD assessors
ISM-0027,"System owners obtain authorisation to operate each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system from its authorising officer based on the acceptance of the security risks associated with its operation.",ISM-0027,System owners obtain authorisation to operate (non-TS)
